Keys;bg;cs;en;hu;it;ro;sk
Úspešne nahraté položky sa následne zobrazia v zozname salónov.;_NEPRELOZENE_;Úspešne nahraté položky sa následne zobrazia v zozname salónov.;Successfully uploaded entries are then displayed in the list of salons.;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Úspešne nahraté položky sa následne zobrazia v zozname salónov.
Úspešné;_NEPRELOZENE_;Úspešné;Successful;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Úspešné
účet;_NEPRELOZENE_;účet;account;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;účet
Čakajúce;_NEPRELOZENE_;Čakajúce;Pending ;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Čakajúce
Číslo ulice;_NEPRELOZENE_;Číslo ulice;Street number;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Číslo ulice
čas do;_NEPRELOZENE_;čas do;time to;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;čas do
čas od;_NEPRELOZENE_;čas od;time from;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;čas od
Ďalšiu podporu nie je možné vytvoriť. Pre každú krajinu môžete vytvoriť maximálne jednu.;_NEPRELOZENE_;Ďalšiu podporu nie je možné vytvoriť. Pre každú krajinu môžete vytvoriť maximálne jednu.;Further support cannot be created. You can create a maximum of one for each country.;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Ďalšiu podporu nie je možné vytvoriť. Pre každú krajinu môžete vytvoriť maximálne jednu.
Ľutujeme, momentálne nie sú k dispozící žiadne support centrá.;_NEPRELOZENE_;Ľutujeme, momentálne nie sú k dispozící žiadne support centrá.;Sorry, there are currently no support centres available.;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Ľutujeme, momentálne nie sú k dispozící žiadne support centrá.
Ľutujeme, pre zvolenú krajinu moménalne neexistuje žiadna podpora. Ak nás chcete kontaktovať, môžete si zvoliť niektorú z krajín zo zoznamu vyššie.;_NEPRELOZENE_;Ľutujeme, pre zvolenú krajinu moménalne neexistuje žiadna podpora. Ak nás chcete kontaktovať, môžete si zvoliť niektorú z krajín zo zoznamu vyššie.;Sorry, there is currently no support for your chosen country. If you want to contact us, you can choose one of the countries from the list above.;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Ľutujeme, pre zvolenú krajinu moménalne neexistuje žiadna podpora. Ak nás chcete kontaktovať, môžete si zvoliť niektorú z krajín zo zoznamu vyššie.
Štandartný;_NEPRELOZENE_;Štandartný;Standard ;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Štandartný
Štv;_NEPRELOZENE_;Štv;Thu;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Štv
Štvrtok;_NEPRELOZENE_;Štvrtok;Thursday;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Štvrtok
Štát;_NEPRELOZENE_;Štát;State;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Štát
Žena;_NEPRELOZENE_;Žena;Woman;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Žena
--paths--;;--paths--;;;;;
activation;/activation;activation;/activation;/activation;/activation;/activation;/activation
categories;/categories;categories;/categories;/categories;/categories;/categories;/categories
contact;/contact;contact;/contact;/contact;/contact;/contact;/contact
cosmetics;/cosmetics;cosmetics;/cosmetics;/cosmetics;/cosmetics;/cosmetics;/cosmetics
customers;/customers;customers;/customers;/customers;/customers;/customers;/customers
customers/create;/customers/create;customers/create;/customers/create;/customers/create;/customers/create;/customers/create;/customers/create
customers/{{customerID}};/customers/{{customerID}};customers/{{customerID}};/customers/{{customerID}};/customers/{{customerID}};/customers/{{customerID}};/customers/{{customerID}};/customers/{{customerID}}
employees;/employees;employees;/employees;/employees;/employees;/employees;/employees
employees/create;/employees/create;employees/create;/employees/create;/employees/create;/employees/create;/employees/create;/employees/create
employees/{{employeeID}};/employees/{{employeeID}};employees/{{employeeID}};/employees/{{employeeID}};/employees/{{employeeID}};/employees/{{employeeID}};/employees/{{employeeID}};/employees/{{employeeID}}
index;/;index;/;/;/;/;/
login;/login;login;/login;/login;/login;/login;/login
my-account;/my-account;my-account;/my-account;/my-account;/my-account;/my-account;/my-account
reset-password;/reset-password;reset-password;/reset-password;/reset-password;/reset-password;/reset-password;/reset-password
salons;/salons;salons;/salons;/salons;/salons;/salons;/salons
salons/create;/salons/create;salons/create;/salons/create;/salons/create;/salons/create;/salons/create;/salons/create
salons/{{salonID}};/salons/{{salonID}};salons/{{salonID}};/salons/{{salonID}};/salons/{{salonID}};/salons/{{salonID}};/salons/{{salonID}};/salons/{{salonID}}
services;/services;services;/services;/services;/services;/services;/services
services/create;/services/create;services/create;/services/create;/services/create;/services/create;/services/create;/services/create
services/{{serviceID}};/services/{{serviceID}};services/{{serviceID}};/services/{{serviceID}};/services/{{serviceID}};/services/{{serviceID}};/services/{{serviceID}};/services/{{serviceID}}
signup;/signup;signup;/signup;/signup;/signup;/signup;/signup
support-contacts;/support-contacts;support-contacts;/support-contacts;/support-contacts;/support-contacts;/support-contacts;/support-contacts
support-contacts/create;/support-contacts/create;support-contacts/create;/support-contacts/create;/support-contacts/create;/support-contacts/create;/support-contacts/create;/support-contacts/create
support-contacts/{{supportContactID}};/support-contacts/{{supportContactID}};support-contacts/{{supportContactID}};/support-contacts/{{supportContactID}};/support-contacts/{{supportContactID}};/support-contacts/{{supportContactID}};/support-contacts/{{supportContactID}};/support-contacts/{{supportContactID}}
users;/users;users;/users;/users;/users;/users;/users
users/create;/users/create;users/create;/users/create;/users/create;/users/create;/users/create;/users/create
users/{{userID}};/users/{{userID}};users/{{userID}};/users/{{userID}};/users/{{userID}};/users/{{userID}};/users/{{userID}};/users/{{userID}}
